"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
232,15.9928,19.1347,6.56601,3.11592,216.066,193.292,156.722
233,13.5699,17.9493,6.00134,2.88359,222.972,196.729,157.383
234,15.6917,19.4733,6.53768,3.06028,219.549,194.611,156.588
235,11.1684,15.748,5.45535,2.61427,241.042,218.255,181.943
236,14.3727,18.796,6.03503,3.03621,211.282,191.377,154.423
237,13.4193,17.9493,5.71365,2.99458,220.234,200.584,163.959
238,18.301,21.336,6.78786,3.4408,224.083,199.78,164.806
239,17.1899,20.6587,6.45798,3.39448,220.54,194.721,155.549
240,15.4838,19.812,6.40148,3.08614,226.825,209.46,173.065
241,13.914,18.6267,6.03748,2.93998,210.408,183.607,143.575
242,12.129,17.1027,5.40846,2.86658,221.928,193.725,157.782
243,10.7168,16.5947,5.31902,2.57102,218.458,192.914,152.289
244,15.5053,20.32,6.48514,3.04986,217.039,191.299,152.828
245,14.9175,19.4733,6.38558,2.98397,200.712,173.994,137.239
246,12.853,16.5947,5.66603,2.89547,224.915,206.807,174.284
247,16.2867,20.4893,6.57074,3.15995,216.571,196.341,161.15
248,18.8028,20.7433,6.47005,3.70612,214.258,188.598,152.74
249,15.1182,19.6427,6.47005,2.97897,239.76,223.005,183.147
250,14.5089,19.9813,6.39057,2.89843,215.372,197.481,161.641
251,13.3978,18.4573,5.78774,2.9543,210.826,184.138,146.423
252,14.1433,18.7113,6.20191,2.90808,213.028,194.469,160.318
253,15.405,19.558,6.16473,3.19374,212.672,185.365,146.34
254,17.7491,20.7433,6.48364,3.49274,217.245,197.869,161.94
255,16.7742,19.2193,6.8306,3.13503,222.178,196.363,157.252
256,12.1505,18.796,5.95582,2.62298,202.223,181.549,150.55
257,14.7383,18.796,6.16169,3.04993,204.463,178.716,137.881
258,11.9283,16.764,5.63921,2.70635,222.423,200.576,168.452
259,14.0717,17.9493,6.20608,2.89136,227.968,201.988,154.018
260,13.7706,17.1027,5.9893,2.93338,218.77,191.528,148.915
261,18.1792,20.32,6.8503,3.38575,224.503,202.493,165.458
262,17.0824,19.1347,6.123,3.55744,226.501,207.663,174.94
263,19.0179,24.384,6.84634,3.58435,214.468,189.374,153.172
264,15.2473,18.796,6.31239,3.07865,221.981,199.556,161.319
265,16.0071,19.3887,6.46205,3.16282,206.333,180.56,139.72
266,15.5914,18.9653,6.42086,3.09662,196.218,172.459,135.287
