"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
144,19.3118,21.6747,6.65999,3.69824,233.308,209.538,173.034
145,16.9677,19.4733,5.91393,3.65976,230.016,206.361,167.984
146,13.9355,18.288,5.80855,3.0598,213.658,194.914,157.027
147,19.9139,22.1827,6.92616,3.66636,221.468,196.257,159.349
148,14.982,18.4573,5.42291,3.52749,230.319,208.13,169.511
149,14.4229,18.6267,5.85173,3.14325,220.375,193.235,152.516
150,17.3333,19.6427,6.30519,3.50646,219.515,193.525,153.566
151,15.5053,19.2193,5.80144,3.416,221.801,196.884,157.942
152,13.2043,16.764,5.63579,2.98732,217.012,190.389,149.744
153,15.9426,18.4573,6.14247,3.31129,201.413,177.834,142.332
154,16.7957,20.32,6.44669,3.32578,214.43,189.257,148.495
155,11.6272,16.256,5.26539,2.81564,211.874,186.423,147.372
156,17.0824,18.9653,6.05824,3.59727,218.819,192.61,154.097
157,15.8924,20.4893,6.49629,3.12123,210.208,189.117,152.422
158,11.62,15.5787,5.10092,2.90674,213.115,189.659,149.549
159,17.577,19.6427,6.27055,3.57368,228.432,204.517,165.803
160,19.1469,20.4893,6.52374,3.74333,222.605,197.738,159.95
161,16.3656,19.4733,6.25559,3.335,215.949,190.814,149.89
162,14.8889,18.796,6.40626,2.97413,230.939,204.92,163.969
163,16.0215,19.9813,6.51698,3.14606,211.851,187.726,150.744
164,14.3584,18.4573,5.83018,3.13977,215.348,186.688,144.983
165,15.957,18.2033,5.7688,3.53246,226.227,204.902,167.605
166,17.9354,19.4733,6.60756,3.46619,212.721,188.624,152.885
167,13.8566,18.1187,5.43881,3.24928,210.223,179.273,136.681
168,12.4946,16.4253,5.50331,2.89493,215.287,189.776,146.86
169,16.9247,19.4733,6.59141,3.27548,231.205,207.825,168.732
170,15.3405,19.1347,5.93492,3.29436,220.338,196.09,156.939
171,15.9139,18.9653,5.78639,3.50722,217.17,198.665,163.212
172,8.10751,15.24,5.15619,2.00856,238.848,221.108,187.35
173,17.5125,20.6587,6.36144,3.53315,217.833,195.226,159.223
174,13.9856,17.8647,5.38947,3.31407,200.691,176.5,139.262
175,15.6129,18.288,5.88323,3.38405,204.385,182.058,146.899
176,16.767,18.9653,6.06385,3.52658,211.922,191.784,153.175
177,17.1326,20.32,6.15136,3.56202,214.67,191.79,153.963
178,18.8673,21.844,6.89903,3.48805,221.722,200.853,162.237
179,17.7849,21.336,6.64323,3.42108,208.729,187.405,151.555
180,19.3691,20.1507,6.59067,3.75032,197.36,170.737,135.163
181,16.681,19.4733,5.98738,3.55117,220.978,197.412,159.07
182,16.6523,18.796,6.24118,3.40369,212.572,188.639,148.503
183,17.8709,20.1507,6.16162,3.70095,222.372,196.799,155.509
184,15.7921,18.034,5.70772,3.5334,225.739,202.644,166.146
185,17.6846,19.304,6.11354,3.68823,222.495,197.402,160.186
186,16.6236,19.6427,6.03031,3.51793,218.099,198.481,165.65
187,20.3871,21.5053,6.48898,4.0052,225.333,200.111,163.552
188,18.1218,19.4733,6.11789,3.78128,221.129,191.57,151.656
189,15.8279,18.6267,5.67063,3.58426,208.211,183.449,145.384
190,15.319,19.304,5.89429,3.32554,218.704,194.134,156.687
191,12.2724,16.6793,5.21369,3.00158,211.005,184.129,144.844
192,16.7168,19.9813,6.26343,3.40224,222.972,195.656,155.414
193,15.1254,17.6107,5.80958,3.32298,212.325,189.486,153.773
194,14.7957,18.1187,5.73659,3.29775,212.936,191.647,155.436
195,16.6595,20.4893,6.87744,3.09817,232.43,208.994,172.681
196,14,17.9493,5.68763,3.13822,213.744,189.595,152.612
197,15.2329,18.288,5.74622,3.38266,235.81,217.967,182.976
198,15.7993,18.6267,5.62113,3.59045,214.497,192.145,156.331
199,15.9856,18.7113,6.02516,3.3817,223.589,199.56,162.157
200,11.5054,17.018,5.43994,2.69973,221.75,194.731,155.322
201,12.939,16.9333,5.48212,3.01059,214.883,188.259,146.6
202,15.2544,18.288,6.07304,3.20362,220.285,196.846,159.681
203,14.9032,18.4573,5.93922,3.19837,221.043,199.019,159.336
204,12.3011,16.764,5.55964,2.82412,210.613,187.014,144.609
205,17.2688,20.6587,6.4084,3.43503,221.293,193.961,154.015
206,14.4229,17.9493,6.0619,3.03532,221.046,194.818,155.355
207,13.9856,18.9653,5.54036,3.24931,209.817,185.491,148.582
208,13.0681,17.78,5.43472,3.06751,222.591,204.398,168.369
209,14.2867,17.272,5.33127,3.41803,208.017,182.346,146.25
210,12.896,17.78,5.7591,2.85457,223.362,195.842,152.813
211,15.3548,19.558,6.0219,3.26022,214.838,186.621,144.318
212,17.8064,20.2353,6.43328,3.52965,214.637,191.984,156.177
213,16.896,19.05,5.90921,3.65965,216.989,190.413,152.382
214,17.0609,19.2193,6.44284,3.39249,223.313,195.866,155.294
215,16.6165,20.066,6.31164,3.35639,224.898,202.438,166.344
216,18.1863,20.32,6.71402,3.45609,231.518,205.432,162.837
217,11.8996,16.256,5.08468,2.98531,223.361,202.074,164.346
218,17.2043,19.05,6.48798,3.38217,222.121,198.38,159.093
219,17.6989,20.1507,6.45501,3.49564,226.184,195.847,152.381
220,15.448,19.4733,6.19883,3.18027,231.883,211.471,176.092
221,16.7742,18.9653,5.91419,3.6178,205.784,186.897,154.419
222,16.4157,19.1347,6.24425,3.35469,223.052,198.603,160.36
223,12.9534,17.526,5.51921,2.99651,211.092,185.388,150.322
224,17.6415,20.9127,6.76821,3.32422,214.127,183.127,139.969
225,17.9354,20.066,5.90443,3.87743,230.298,202.977,162.454
226,14.5161,18.1187,5.58502,3.33786,204.211,181.489,147.23
227,16.9892,20.7433,6.34569,3.41722,232.39,206.651,166.588
228,14.6738,17.6107,5.55845,3.38553,222.792,202.189,167.542
229,15.448,19.812,6.3645,3.0935,226.147,205.398,169.096
230,14.8674,17.6107,5.09107,3.74154,185.685,160.256,124.373
231,16.258,18.4573,6.34692,3.26784,221.709,199.235,163.752
232,17.0824,19.304,6.55344,3.32253,203.674,177.995,140.259
233,14.1864,17.6107,5.66539,3.19681,200.102,176.638,140.886
234,20.2007,21.1667,6.58271,3.91091,229.618,207.853,171.946
235,17.6774,19.1347,6.62131,3.40881,216.77,193.063,155.897
