"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
190,16.3584,19.9813,6.39595,3.26081,218.426,196.259,158.562
191,16.7598,20.32,6.47778,3.29868,210.348,184.747,148.074
192,18.1003,21.1667,6.79183,3.39938,218.144,192.456,156.723
193,18.7813,20.32,6.64381,3.60547,218.207,196.018,156.664
194,14.8602,20.2353,6.50079,2.92469,229.4,201.908,158.952
195,15.534,19.1347,6.16856,3.20912,202.292,175.089,136.546
196,16.6093,18.9653,6.78095,3.12351,226.662,203.736,165.96
197,18.6451,19.9813,6.30414,3.77322,200.39,176.658,141.979
198,13.0466,18.9653,6.28896,2.64631,219.125,193.113,155.058
199,15.4337,19.1347,6.53539,3.01019,223.686,199.405,155.943
200,17.1756,19.9813,6.53902,3.35286,223.593,199.875,161.784
201,10.9462,16.9333,5.47162,2.55287,218.859,197.689,155.971
202,16.1433,19.6427,6.42752,3.2019,212.436,187.588,149.005
203,15.8423,19.304,6.48939,3.11836,217.74,193.157,154.489
204,15.8279,19.1347,6.16952,3.27162,211.161,185.131,142.069
205,15.8136,18.9653,6.64909,3.0341,220.092,191.923,150.564
206,17.4982,19.4733,6.57259,3.39315,221.996,201.59,165.826
207,15.1899,18.8807,6.07001,3.19481,199.831,176.583,137.22
208,17.1756,19.2193,6.43439,3.40567,222.025,200.025,162.568
209,19.0752,21.6747,7.3075,3.3293,223.649,196.933,156.162
210,16.9319,19.6427,6.15088,3.50889,207.617,179.967,142.149
211,16.5878,19.304,6.35832,3.32579,232.592,212.495,175.281
212,14.5304,19.3887,6.19205,2.99492,221.517,201.817,162.615
213,16.6738,19.9813,6.43412,3.30254,232.602,210.775,175.013
214,17.491,20.32,6.45655,3.46159,214.338,189.349,150.105
215,16.724,20.4047,6.44306,3.31028,228.563,204.361,168.026
216,17.8279,20.6587,6.79868,3.34441,190.01,162.789,124.685
217,20.2365,20.6587,6.43743,4.0142,226.848,206.31,173.578
218,17.1111,19.6427,6.41551,3.40092,212.679,183.124,144.387
219,18.8387,20.6587,6.68205,3.59348,213.173,185.942,147.189
